Technology,Year,t,Revenue (€),OPEX (€),Depreciation (€),EBIT (€),Tax (€),FCF (€),Discount factor,PV (€),Cumulative PV (€)
Dual-Fuel,Year 0,0,0.0,0.0,0.0,0.0,0.0,-3108877.25,1.0,-3108877.25,0.0
Dual-Fuel,2031,1,1978845.0,1329121.9601499997,150496.75,499226.2898500003,124806.57246250007,524916.4673875002,0.9523809523809523,499920.4451309526,499920.4451309526
Dual-Fuel,2032,2,1883096.96,1263298.4098662396,150496.75,469301.8001337603,117325.45003344008,502473.10010032024,0.9070294784580498,455757.91392319294,955678.3590541455
Dual-Fuel,2033,3,1791008.96,1200724.162396595,150496.75,439788.04760340485,109947.01190085121,480337.78570255364,0.863837598531476,414933.83928522066,1370612.1983393661
Dual-Fuel,2034,4,1703323.96,1141743.0715060472,150496.75,411084.1384939528,102771.0346234882,458809.8538704646,0.822702474791882,377464.00223813293,1748076.200577499
Dual-Fuel,2035,5,1620868.96,1086735.5867465585,150496.75,383636.6232534414,95909.15581336035,438224.21744008106,0.783526166468459,343360.1411444671,2091436.3417219662
Dual-Fuel,2036,6,1541624.0,1034458.3502237194,150496.75,356668.8997762806,89167.22494407016,417998.42483221047,0.7462153966366276,311916.8603796535,2403353.20210162
Dual-Fuel,2037,7,1466433.04,985316.4893926394,150496.75,330619.80060736067,82654.95015184017,398461.6004555205,0.7106813301301215,283179.22021750634,2686532.4223191263
Dual-Fuel,2038,8,1394419.96,938744.0656912586,150496.75,305179.1443087413,76294.78607718533,379381.108231556,0.6768393620286872,256780.0672611827,2943312.489580309
Dual-Fuel,2039,9,1326427.04,895143.2893630265,150496.75,280787.00063697353,70196.75015924338,361087.0004777302,0.6446089162177973,232759.9000382849,3176072.3896185937
Dual-Fuel,2040,10,1261807.0,854086.914745061,150496.75,257223.33525493904,64305.83381373476,343414.2514412043,0.6139132535407593,210826.56041453412,3386898.950033128
Dual-Fuel,2041,11,1199976.04,815195.5515475094,150496.75,234283.73845249065,58570.93461312266,326209.553839368,0.5846792890864374,190727.9700320056,3577626.9200651334
Dual-Fuel,2042,12,1141649.96,778804.0361385433,150496.75,212349.1738614567,53087.29346536417,309758.63039609254,0.5568374181775595,172485.19600797707,3750112.1160731106
Dual-Fuel,2043,13,1086616.96,744739.8706116941,150496.75,191380.3393883059,47845.084847076476,294032.00454122946,0.5303213506452946,155931.4497812482,3906043.565854359
Dual-Fuel,2044,14,1033846.0,712399.5018754469,150496.75,170949.74812455312,42737.43703113828,278709.06109341484,0.5050679529955189,140767.01496775405,4046810.580822113
Dual-Fuel,2045,15,983836.0,682006.317322333,150496.75,151332.932677667,37833.23316941675,263996.4495082502,0.4810170980909702,126986.80604877786,4173797.386870891
Dual-Fuel,2046,16,935599.0399999999,652996.749344676,150496.75,132105.5406553239,33026.38516383097,249575.90549149291,0.4581115219914002,114333.59791708968,4288130.98478798
Dual-Fuel,2047,17,889764.04,625666.5622874547,150496.75,113600.72771254531,28400.181928136328,235697.29578440898,0.43629668761085727,102833.94942957412,4390964.9342175545
Dual-Fuel,2048,18,846212.04,599916.2262207243,150496.75,95799.06377927575,23949.765944818937,222346.0478344568,0.41552065486748313,92389.37540337023,4483354.309620924
Dual-Fuel,2049,19,804500.0,575482.5053965368,150496.75,78520.74460346322,19630.186150865804,209387.3084525974,0.3957339570166506,82861.66812301235,4566215.977743937
Dual-Fuel,2050,20,765147.04,552601.1957079716,150496.75,62049.09429202846,15512.273573007114,295975.8207190214,0.3768894828730006,111550.1740137039,4677766.151757641
Oxy-Enriched,Year 0,0,0.0,0.0,0.0,0.0,0.0,-3177547.4455,1.0,-3177547.4455,0.0
Oxy-Enriched,2031,1,1931008.91,1219221.2857799998,154049.85,557737.7742200001,139434.44355500003,572353.1806650001,0.9523809523809523,545098.2673000001,545098.2673000001
Oxy-Enriched,2032,2,1837558.91,1161059.4030119998,154049.85,522449.65698800015,130612.41424700004,545887.0927410001,0.9070294784580498,495135.6850258504,1040233.9523258505
Oxy-Enriched,2033,3,1747602.3,1105773.3834408,154049.85,487779.06655920006,121944.76663980001,519884.1499194,0.863837598531476,449095.47558095236,1489329.4279068029
Oxy-Enriched,2034,4,1662012.57,1053733.7058080256,154049.85,454229.01419197454,113557.25354799363,494721.6106439809,0.822702474791882,407008.69340982893,1896338.1213166318
Oxy-Enriched,2035,5,1581663.1099999999,1005297.7231825383,154049.85,422315.5368174616,105578.8842043654,470786.50261309615,0.783526166468459,368873.54361753236,2265211.664934164
Oxy-Enriched,2036,6,1503933.6099999999,959046.30908052,154049.85,390837.45091947995,97709.36272986999,447177.9381896099,0.7462153966366276,333691.0625133091,2598902.727447473
Oxy-Enriched,2037,7,1430511.12,915765.5541943747,154049.85,360695.7158056254,90173.92895140636,424571.636854219,0.7106813301301215,301735.13561507926,2900637.863062552
Oxy-Enriched,2038,8,1360621.9,874993.4354963196,154049.85,331578.6145036804,82894.6536259201,402733.8108777603,0.6768393620286872,272586.09562188527,3173223.9586844374
Oxy-Enriched,2039,9,1294251.23,836657.1967595983,154049.85,303544.1832404017,75886.04581010042,381707.98743030126,0.6446089162177973,246052.37208912306,3419276.3307735603
